Test Methods,Assertion Roulette,Conditional Test Logic,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Duplicate Assert,Unknown Test,Resource Optimism,Magic Number Test
Exec57Test.testExec_57,False,true,False,true,False,False,true,False,False,False,False,False,False,False,False,False
Exec44Test.testExec44,False,False,False,true,False,False,False,False,False,False,true,False,False,False,False,False
Exec34Test.testExec34_2,false,False,False,true,False,False,False,False,False,False,False,False,False,False,False,False
Exec34Test.testExec34_1,true,False,False,true,False,False,False,False,False,False,False,False,False,False,False,False
DefaultExecutorTest.testExecuteWithFancyArg,true,false,False,true,False,false,false,False,true,False,false,true,false,False,false,false
DefaultExecutorTest.testExecuteWithNullOutErr,false,false,False,true,False,false,false,False,false,False,false,true,false,False,false,false
DefaultExecutorTest.testExecuteWatchdogAsync,false,false,False,true,False,false,false,False,false,False,false,true,false,False,true,false
DefaultExecutorTest.testExecuteWithRedirectOutErr,true,false,False,true,False,true,false,False,false,False,false,true,false,False,false,false
DefaultExecutorTest.testExecuteWithError,true,false,False,true,False,false,false,False,false,False,false,true,false,False,false,false
DefaultExecutorTest.testExecuteAsyncWithTooLateUserTermination,false,false,False,true,False,false,false,False,false,False,true,true,false,False,false,false
DefaultExecutorTest.testExecuteWithComplexArguments,false,false,False,true,False,false,false,False,false,False,false,true,false,False,false,false
DefaultExecutorTest.testExecuteAsyncWithTimelyUserTermination,false,false,False,true,False,false,false,False,false,False,true,true,false,False,false,false
DefaultExecutorTest.testExecuteWithRedirectedStreams,false,true,False,true,False,false,false,False,false,False,false,true,false,False,true,false
DefaultExecutorTest.testExecute,true,false,False,true,False,false,false,False,true,False,false,true,false,False,true,false
DefaultExecutorTest.testExecuteWatchdogVeryLongTimeout,false,false,False,true,False,false,false,False,false,False,false,true,false,False,true,false
DefaultExecutorTest.testExecuteAsyncWithProcessDestroyer,true,false,False,true,False,false,false,False,false,False,true,true,false,False,false,true
DefaultExecutorTest.testExecuteWithArg,true,false,False,true,False,false,false,False,true,False,false,true,false,False,false,false
DefaultExecutorTest.testStdInHandling,true,false,False,true,False,false,false,False,false,False,false,true,false,False,false,false
DefaultExecutorTest.testExecuteNonExistingApplication,false,false,False,true,False,false,false,False,false,False,false,false,false,False,false,false
DefaultExecutorTest.testExecuteWithProcessDestroyer,true,false,False,true,False,false,false,False,true,False,false,true,true,False,false,false
DefaultExecutorTest.testEnvironmentVariables,true,false,False,true,False,false,false,False,false,False,false,false,false,False,false,false
DefaultExecutorTest.testExecuteWithInvalidWorkingDirectory,false,false,False,true,False,true,false,False,false,False,false,true,false,False,true,false
DefaultExecutorTest.testExecuteWatchdogSync,true,true,False,true,False,false,true,False,false,False,true,true,false,False,true,false
DefaultExecutorTest.testExecuteAsyncWithNonExistingApplication,true,false,False,true,False,false,false,False,false,False,true,true,false,False,false,false
DefaultExecutorTest.testExecuteWithCustomExitValue1,false,false,False,true,False,false,false,False,false,False,false,true,false,False,false,false
DefaultExecutorTest.testExecuteAsyncWithError,true,false,False,true,False,false,false,False,true,False,false,true,false,False,false,false
DefaultExecutorTest.testExecuteWithCustomExitValue2,true,false,False,true,False,false,false,False,false,False,false,true,false,False,false,false
DefaultExecutorTest._testExecuteStability,true,true,False,true,False,false,false,False,true,False,false,true,false,False,false,false
DefaultExecutorTest.testExecuteWithWorkingDirectory,true,false,False,true,False,true,false,False,true,False,false,true,false,False,true,false
DefaultExecutorTest.testExecuteWithStdOutErr,false,false,False,true,False,false,false,False,false,False,false,true,false,False,false,false
DefaultExecutorTest.testExecuteAsync,true,false,False,true,False,false,false,False,true,False,false,true,false,False,false,false
DefaultExecutorTest.testExecuteWithSingleEnvironmentVariable,true,false,False,true,False,false,false,False,true,False,false,true,false,False,false,false
DefaultExecutorTest.testAddEnvironmentVariableEmbeddedQuote,false,false,False,true,False,false,false,False,false,False,false,false,false,False,false,false
DefaultExecutorTest.testAddEnvironmentVariables,false,false,False,true,False,false,false,False,false,False,false,false,false,False,false,false
TutorialTest.testTutorialExample,False,False,False,true,False,true,true,False,False,False,False,False,False,False,true,False
Exec36Test.testExec36_2,true,true,False,true,False,true,False,False,False,False,False,False,False,False,true,False
Exec36Test.testExec36_1,true,true,False,true,False,false,False,False,False,False,False,False,False,False,false,False
Exec36Test._testExec36_6,true,false,False,false,False,false,False,False,False,False,False,False,False,False,false,False
Exec36Test._testExec36_5,true,false,False,false,False,false,False,False,False,False,False,False,False,False,false,False
Exec36Test._testExec36_4,true,false,False,true,False,false,False,False,False,False,False,False,False,False,false,False
EnvironmentUtilsTest.testToStrings,true,false,False,false,False,False,False,False,true,False,False,true,False,False,False,false
EnvironmentUtilsTest.testToStringWithNullValue,true,false,False,false,False,False,False,False,false,False,False,false,False,False,False,true
EnvironmentUtilsTest.testCaseInsensitiveVariableLookup,false,false,False,true,False,False,False,False,false,False,False,true,False,False,False,false
EnvironmentUtilsTest.testToStringWithNullKey,true,false,False,false,False,False,False,False,false,False,False,false,False,False,False,true
EnvironmentUtilsTest.testGetProcEnvironment,false,true,False,true,False,False,False,False,false,False,False,true,False,False,False,false
EnvironmentUtilsTest.testGetProcEnvironmentCaseInsensitiveLookup,true,true,False,true,False,False,False,False,false,False,False,true,False,False,False,false
Exec33Test.testExec33,False,False,False,true,False,False,False,False,False,False,False,False,False,False,False,False
Exec49Test.testExec49_2,False,true,False,true,False,False,true,False,False,False,False,False,False,true,False,False
Exec49Test.testExec49_1,False,true,False,true,False,False,true,False,False,False,False,False,False,true,False,False
MapUtilTest.testPrefixMap,true,False,False,true,False,False,False,False,False,False,False,False,false,False,False,False
MapUtilTest.testMergeMap,true,False,False,true,False,False,False,False,False,False,False,False,false,False,False,False
MapUtilTest.testCopyMap,true,False,False,true,False,False,False,False,False,False,False,False,true,False,False,False
LogOutputStreamTest.testStdout,False,False,False,true,False,False,False,False,False,False,False,False,False,False,False,False
Exec60Test.testExec_60,False,true,False,true,False,False,true,False,False,False,False,False,False,False,False,False
StringUtilTest.testIncompleteSubstitution,true,False,False,true,False,False,False,False,true,False,False,False,False,False,False,False
StringUtilTest.testErroneousTemplate,false,False,False,true,False,False,False,False,true,False,False,False,False,False,False,False
StringUtilTest.testNoStringSubstitution,false,False,False,true,False,False,False,False,true,False,False,False,False,False,False,False
StringUtilTest.testDefaultStringSubstitution,true,False,False,true,False,False,False,False,true,False,False,False,False,False,False,False
CommandLineTest.testAddArgument,true,False,False,false,False,False,false,False,true,False,False,true,false,False,false,False
CommandLineTest.testAddArgumentsWithQuotes,true,False,False,false,False,False,false,False,true,False,False,true,false,False,false,False
CommandLineTest.testParseRealLifeCommandLine_1,true,False,False,false,False,False,false,False,false,False,False,true,false,False,false,False
CommandLineTest.testExecutableWhitespaceString,false,False,False,true,False,False,false,False,false,False,False,false,false,False,false,False
CommandLineTest.testCopyConstructor,true,False,False,false,False,False,false,False,false,False,False,true,false,False,false,False
CommandLineTest.testExecutableZeroLengthString,false,False,False,true,False,False,false,False,false,False,False,false,false,False,false,False
CommandLineTest.testComplexAddArgument,false,False,False,false,False,False,false,False,true,False,False,true,false,False,false,False
CommandLineTest.testCommandLineParsingWithExpansion3,true,False,False,false,False,False,false,False,false,False,False,true,false,False,false,False
CommandLineTest.testExecutable,true,False,False,false,False,False,false,False,true,False,False,true,false,False,false,False
CommandLineTest.testCommandLineParsingWithExpansion1,true,False,False,false,False,False,false,False,false,False,False,true,true,False,true,False
CommandLineTest.testToString,true,False,False,true,False,False,false,False,true,False,False,true,false,False,false,False
CommandLineTest.testCommandLineParsingWithExpansion2,true,False,False,false,False,False,false,False,false,False,False,true,true,False,false,False
CommandLineTest.testParseCommandLineWithNull,false,False,False,true,False,False,false,False,false,False,False,false,false,False,false,False
CommandLineTest.testParseCommandLineWithQuotes,true,False,False,false,False,False,false,False,true,False,False,true,false,False,false,False
CommandLineTest.testAddArgumentsWithQuotesAndSpaces,true,False,False,false,False,False,false,False,true,False,False,true,false,False,false,False
CommandLineTest.testNullExecutable,false,False,False,true,False,False,false,False,false,False,False,false,false,False,false,False
CommandLineTest.testAddArgumentWithSingleQuote,true,False,False,false,False,False,false,False,true,False,False,true,false,False,false,False
CommandLineTest.testAddNullArgument,true,False,False,false,False,False,false,False,true,False,False,true,false,False,false,False
CommandLineTest.testAddArgumentWithQuote,true,False,False,false,False,False,false,False,true,False,False,true,false,False,false,False
CommandLineTest.testAddArgumentsArrayNull,true,False,False,false,False,False,false,False,true,False,False,true,false,False,false,False
CommandLineTest.testToStringTroubleshooting,false,False,False,true,False,False,true,False,true,False,False,true,false,False,false,False
CommandLineTest.testComplexAddArguments2,false,False,False,false,False,False,false,False,true,False,False,true,false,False,false,False
CommandLineTest.testAddArgumentsArray,true,False,False,false,False,False,false,False,true,False,False,true,false,False,false,False
CommandLineTest.testParseCommandLineWithUnevenQuotes,false,False,False,true,False,False,false,False,false,False,False,false,false,False,false,False
CommandLineTest.testComplexAddArguments1,false,False,False,false,False,False,false,False,true,False,False,true,false,False,false,False
