Test Methods,Assertion Roulette,Conditional Test Logic,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Duplicate Assert,Unknown Test,Resource Optimism,Magic Number Test
TestIsGreaterThan.testInstance,true,False,False,false,False,False,False,false,False,False,False,true,False,False,False,False
TestIsGreaterThan.testEquals,false,False,False,true,False,False,False,true,False,False,False,false,False,False,False,False
TestIsGreaterThan.testTest,true,False,False,true,False,False,False,false,False,False,False,true,False,False,False,False
TestConditionalBinaryProcedure.testEquals,false,False,False,true,False,False,False,true,False,False,False,false,false,False,False,false
TestConditionalBinaryProcedure.testRun,true,False,False,true,False,False,False,false,False,False,False,true,true,False,False,true
TestBinaryNot.testNotNotNull,false,False,False,true,False,False,False,false,False,False,False,false,False,False,False,False
TestBinaryNot.testNotNull,false,False,False,true,False,False,False,false,False,False,False,false,False,False,False,False
TestBinaryNot.testTest,true,False,False,true,False,False,False,false,False,False,False,true,False,False,False,False
TestBinaryNot.testEquals,false,False,False,true,False,False,False,true,False,False,False,false,False,False,False,False
TestFunctionProcedure.testRun,true,False,False,true,False,False,False,false,False,False,False,true,False,False,False,true
TestFunctionProcedure.testAdaptNull,false,False,False,true,False,False,False,false,False,False,False,false,False,False,False,false
TestFunctionProcedure.testEquals,false,False,False,true,False,False,False,true,False,False,False,false,False,False,False,false
TestFunctionProcedure.testAdapt,false,False,False,true,False,False,False,false,False,False,False,false,False,False,False,false
TestIsElementOf.testTestArray,true,False,False,true,False,False,False,false,False,False,False,false,False,False,False,False
TestIsElementOf.testTestArrayWithNull,true,False,False,true,False,False,False,false,False,False,False,true,False,False,False,False
TestIsElementOf.testTestNull,false,False,False,true,False,False,False,false,False,False,False,true,False,False,False,False
TestIsElementOf.testTestCollection,true,False,False,true,False,False,False,false,False,False,False,false,False,False,False,False
TestIsElementOf.testWrapNonCollection,false,False,False,true,False,False,False,false,False,False,False,false,False,False,False,False
